inom,mi,Situação,Extração,DI_Ext,DF_Ext,Remodelar,DI_Rem,DF_Rem,Revisão,DI_Rev,DF_Rev
SC-24-X-B-V-4-SO,1446-4-SO,"1",,,,,,,,,
SC-24-X-B-IV-1-NO,1445-1-NO,"1",,,,,,,,,
SC-24-X-B-IV-1-NE,1445-1-NE,"1",,,,,,,,,
SC-24-X-B-IV-1-SO,1445-1-SO,"1",,,,,,,,,
SC-24-X-B-IV-1-SE,1445-1-SE,"1",,,,,,,,,
SC-24-X-B-IV-2-NO,1445-2-NO,"1",,,,,,,,,
SC-24-X-B-VI-2-SO,1447-2-SO,"1",,,,,,,,,
SC-24-X-B-VI-3-NO,1447-3-NO,"1",,,,,,,,,
SC-24-X-B-VI-3-NE,1447-3-NE,"1",,,,,,,,,
SC-24-X-B-VI-3-SO,1447-3-SO,"1",,,,,,,,,
SC-24-X-B-VI-3-SE,1447-3-SE,"1",,,,,,,,,
SC-24-X-B-VI-4-NO,1447-4-NO,"1",,,,,,,,,
